                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.1417,                 1.4317,                0.94757,                0.60676,                0.67797,                 0.5872,                0.23592,                 2.1167,                 1.3176,                 1.0211,              0.0016832,              0.0016832,              0.0016832
                     50,                 2.0962,                 1.3966,                0.94074,                 0.6272,                0.57627,                0.59832,                 0.2397,                 2.1728,                 1.3294,                 1.0261,              0.0016766,              0.0016766,              0.0016766
                     51,                 2.1348,                 1.4101,                0.93229,                0.69793,                0.62657,                0.62217,                 0.2421,                 2.1607,                 1.4241,                 1.0344,                0.00167,                0.00167,                0.00167
                     52,                 2.1095,                 1.3242,                0.93192,                0.69465,                0.67797,                0.66669,                0.25569,                 2.1293,                 1.3794,                 1.0266,              0.0016634,              0.0016634,              0.0016634
                     53,                 2.0303,                 1.3968,                0.93104,                0.71448,                0.66102,                0.66222,                0.25568,                 2.2491,                 1.3677,                 1.0625,              0.0016568,              0.0016568,              0.0016568
                     54,                  2.105,                 1.4251,                0.91508,                0.66851,                0.61532,                0.62425,                0.22623,                 2.1602,                 1.3441,                 1.0314,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.9874,                 1.2795,                0.96005,                0.56803,                0.64407,                0.59974,                0.26058,                 2.2056,                 1.3361,                 1.0304,              0.0016436,              0.0016436,              0.0016436
                     56,                 2.0579,                 1.3413,                0.93021,                0.54531,                0.67086,                0.60201,                0.25194,                 2.1873,                 1.3237,                 1.0313,               0.001637,               0.001637,               0.001637
                     57,                 1.9645,                 1.3312,                0.93172,                 0.5994,                0.63407,                0.59317,                0.21711,                 2.2107,                 1.3017,                 1.0252,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.9937,                  1.308,                0.92718,                0.58925,                0.59322,                0.57685,                0.22458,                 2.1401,                  1.385,                 1.0197,              0.0016238,              0.0016238,              0.0016238
                     59,                 2.0436,                 1.3321,                 0.9553,                0.63095,                0.63757,                0.63144,                0.22812,                 2.1512,                 1.2864,                 1.0059,              0.0016172,              0.0016172,              0.0016172
                     60,                 2.0168,                  1.332,                0.91768,                0.64439,                0.58363,                0.60679,                0.22194,                 2.1042,                 1.3334,                 1.0055,              0.0016106,              0.0016106,              0.0016106
                     61,                  2.114,                  1.293,                0.93841,                0.66857,                0.52542,                0.57313,                 0.1891,                 2.1269,                 1.4539,                 1.0082,               0.001604,               0.001604,               0.001604
                     62,                 1.9974,                 1.3174,                0.92849,                 0.5548,                0.55932,                 0.5619,                0.22586,                 2.1239,                 1.4145,                 1.0019,              0.0015974,              0.0015974,              0.0015974
                     63,                 2.0313,                 1.3796,                0.94005,                0.59742,                0.66102,                0.58562,                0.22789,                 2.0564,                 1.3747,                 0.9846,              0.0015908,              0.0015908,              0.0015908
                     64,                 2.0549,                  1.307,                0.92184,                0.60673,                 0.6799,                0.58872,                0.24105,                  2.101,                 1.3658,                0.99702,              0.0015842,              0.0015842,              0.0015842
